no2;ozone;temperature;humidity;estimates
0.03;93;-1.17;13.03;2
0.01;90;27.94;32.2;2
0.0;49;31.58;17.56;0
0.04;69;32.1;79.07;1
0.02;5;23.97;33.06;1
0.01;11;35.75;11.0;0
0.07;18;21.71;61.35;0
0.04;90;8.27;70.38;2
0.01;33;5.38;20.35;0
0.04;94;15.7;23.72;2
0.05;55;16.29;32.4;1
0.04;26;-9.18;37.57;1
0.05;67;27.18;23.14;1
0.03;93;9.48;55.3;2
0.01;29;14.64;86.27;0
0.05;95;-2.16;49.31;2
0.04;82;33.88;15.11;2
0.03;27;36.02;72.16;1
0.01;8;14.18;16.21;1
0.01;54;13.16;89.33;1
0.05;93;32.38;19.98;2
0.0;14;37.15;34.59;0
0.01;47;-9.16;79.5;0
0.0;25;11.77;38.84;0
0.04;84;5.68;36.7;2
0.02;46;22.58;81.09;1
0.0;47;17.8;77.82;0
0.03;94;33.0;24.93;2
0.05;91;36.24;18.25;2
0.01;31;14.2;80.39;0
0.0;39;29.55;57.98;0
0.0;93;36.85;22.23;2
0.01;37;28.58;44.52;0
0.01;96;35.47;12.49;2
0.05;85;-9.2;40.12;2
0.04;101;-4.05;34.17;2
0.04;100;38.67;33.21;2
0.05;81;-6.45;41.84;1
0.03;66;-5.35;42.81;1
0.05;5;5.67;54.6;1
0.01;28;-4.42;18.45;0
0.01;54;38.69;33.77;1
0.03;60;2.15;29.78;1
0.01;28;20.55;84.4;0
0.01;27;31.94;70.26;0
0.05;89;11.61;78.35;2
0.01;14;30.73;88.23;0
0.01;36;27.29;54.14;0
0.02;91;3.81;56.05;2
0.01;15;6.45;22.07;0
0.03;91;11.26;73.12;2
0.02;32;3.71;54.51;1
0.01;24;21.29;14.66;0
0.05;90;-7.76;53.54;2
0.05;93;22.22;80.76;2
0.01;86;10.81;32.87;2
0.05;98;2.9;93.21;2
0.04;98;6.14;23.29;2
0.02;80;10.43;66.6;1
0.01;88;31.67;29.39;2
0.01;93;-4.27;89.06;2
0.05;70;21.21;55.74;1
0.01;58;-9.24;28.93;1
0.0;11;5.94;44.05;0
0.02;96;36.37;43.88;2
0.29;109;35.65;85.38;2
0.04;91;38.55;44.55;2
0.01;12;12.88;79.25;0
0.01;5;35.65;46.16;0
0.04;85;21.03;51.16;2
0.01;47;28.63;30.86;0
0.01;98;38.61;77.01;2
0.05;26;24.44;29.21;1
0.01;89;-6.09;98.14;2
0.0;16;21.84;73.98;0
0.02;98;30.38;89.59;2
0.03;22;1.88;68.55;1
0.05;26;13.97;41.78;1
0.0;33;13.8;61.02;0
0.01;9;-0.42;10.35;0
0.02;88;11.3;19.75;2
0.02;28;-1.63;61.29;1
0.03;95;4.41;35.34;2
0.01;51;35.55;46.28;0
0.03;23;19.2;60.99;0
0.29;119;33.47;80.76;2
0.01;98;10.66;32.23;2
0.05;74;24.33;18.6;1
0.0;92;29.63;49.99;2
0.05;96;-5.98;88.98;2
0.03;83;17.74;43.33;2
0.02;101;-3.23;95.12;2
0.02;83;38.41;88.23;2
0.01;28;-9.35;35.62;0
0.04;34;33.97;98.13;1
0.01;9;33.16;33.24;0
0.01;47;-0.56;89.7;0
0.04;48;0.78;36.33;1
0.03;15;13.23;88.91;1
0.02;95;39.34;11.26;2
0.05;87;6.43;18.85;2
0.01;89;6.38;42.37;2
0.05;98;7.01;93.17;2
0.04;73;12.77;29.69;1
0.05;90;24.42;43.4;2
0.03;73;14.54;70.48;1
0.01;73;36.59;29.74;1
0.04;91;6.51;97.19;2
0.04;74;-5.77;92.69;1
0.02;34;-0.71;41.8;1
0.23;119;35.43;81.85;2
0.04;62;32.02;78.29;1
0.03;64;37.03;36.97;1
0.05;91;6.16;74.56;2
0.02;21;4.44;83.92;1
0.24;105;35.53;86.83;2
0.02;15;8.98;18.19;1
0.01;67;19.83;31.91;1
0.01;55;18.61;81.74;1
0.01;33;8.59;84.43;0
0.02;64;30.66;44.56;1
0.01;24;21.54;16.43;0
0.05;87;3.98;21.03;2
0.01;96;16.22;84.57;2
0.01;23;31.25;42.24;0
0.05;18;26.25;29.09;1
0.01;22;32.32;71.55;0
0.04;98;6.2;29.74;2
0.01;40;35.93;29.79;0
0.0;6;21.73;18.89;0
0.02;34;33.68;24.03;1
0.01;32;23.09;93.19;0
0.03;38;19.72;57.93;1
0.01;64;-8.98;59.97;1
0.05;100;0.35;87.23;2
0.03;95;32.18;21.36;2
0.01;40;-7.85;48.81;0
0.01;12;-6.91;16.79;0
0.01;10;37.89;92.52;0
0.01;47;27.87;47.33;1
0.01;98;33.49;50.6;2
0.01;15;29.04;61.15;0
0.0;93;-4.34;64.71;2
0.03;26;37.1;60.68;1
0.03;31;-7.31;37.59;1
0.02;65;18.93;68.85;1
0.02;101;2.51;83.66;2
0.03;39;-1.85;61.79;1
0.02;74;15.58;92.71;1
0.02;56;37.11;57.21;1
0.04;26;1.91;33.83;1
0.04;85;16.33;57.46;2
0.01;5;3.2;92.95;0
0.05;100;-4.73;13.06;2
0.04;84;26.06;74.96;2
0.01;39;-3.55;12.81;0
0.04;98;31.45;39.74;2
0.0;15;23.27;55.75;0
0.01;79;21.36;48.57;1
0.01;17;-2.26;97.38;0
0.01;41;31.7;77.27;0
0.04;18;36.95;94.92;1
0.0;84;-6.33;24.88;2
0.01;49;5.15;81.19;0
0.03;94;10.71;97.11;2
0.03;102;22.76;65.3;2
0.04;96;-5.55;12.07;2
0.01;75;2.27;28.77;1
0.0;40;13.57;53.97;0
0.0;41;18.17;55.3;0
0.02;39;4.04;70.45;1
0.05;26;33.13;58.07;1
0.01;46;25.3;67.57;0
0.01;19;-5.37;11.13;0
0.01;13;16.17;92.55;0
0.02;88;4.46;87.74;2
0.02;94;12.26;28.59;2
0.01;101;35.74;71.72;2
0.03;43;13.25;16.97;1
0.0;44;9.34;29.42;0
0.02;28;-0.37;38.95;1
0.01;10;28.81;48.08;0
0.04;88;-0.5;34.03;2
0.01;12;37.33;47.77;0
0.04;91;15.27;23.97;2
0.04;51;36.61;99.02;1
0.04;17;21.41;70.34;1
0.0;35;33.6;53.64;0
0.04;101;-5.88;61.27;2
0.01;75;10.33;46.78;1
0.02;90;4.11;12.83;2
0.01;72;-4.44;74.21;1
0.03;82;-6.45;24.87;2
0.04;20;7.38;71.92;1
0.01;88;34.22;38.11;2
0.0;86;12.6;97.28;2
0.04;80;-8.11;87.88;1
0.04;85;18.87;35.95;2
0.01;39;8.08;62.09;0
0.01;11;-9.88;82.45;0
0.02;15;24.54;52.16;1
0.05;18;37.07;27.8;1
0.0;35;37.0;39.59;0
0.02;92;19.77;35.36;2
0.05;19;11.47;94.8;1
0.0;36;0.02;74.44;0
0.03;47;-3.78;31.54;1
0.0;42;37.68;12.82;0
0.02;82;-0.47;66.37;2
0.01;13;28.15;73.89;0
0.01;16;1.23;25.01;0
0.03;80;29.38;15.11;1
0.03;82;-2.56;91.31;2
0.03;94;27.21;28.33;2
0.04;20;9.5;94.05;1
0.01;87;9.9;15.41;2
0.05;33;5.47;62.63;1
0.04;30;35.77;39.66;1
0.0;46;11.03;99.29;0
0.01;14;31.93;92.55;0
0.05;69;32.84;13.86;1
0.01;82;0.55;89.18;2
0.01;83;9.08;24.22;2
0.03;44;20.07;61.27;0
0.01;80;14.08;15.12;1
0.05;90;30.08;49.38;2
0.01;97;2.2;74.18;2
0.0;83;26.5;75.77;2
0.01;54;27.76;10.89;1
0.03;91;8.3;49.47;2
0.02;11;9.72;42.27;1
0.04;5;24.54;63.12;1
0.03;16;35.14;18.84;1
0.05;40;14.49;20.3;1
0.01;32;28.67;72.31;0
0.01;48;14.48;38.91;0
0.04;101;6.92;14.56;2
0.01;30;32.09;84.67;0
0.05;64;36.71;22.62;1
0.01;30;0.84;37.71;0
0.01;68;10.81;98.53;1
0.04;79;31.69;65.25;1
0.04;58;26.67;19.62;1
0.02;98;0.56;10.83;2
0.01;42;-5.53;17.59;0
0.01;10;24.54;62.49;0
0.01;82;39.75;71.38;2
0.01;7;35.82;35.7;0
0.03;99;37.74;99.47;2
0.05;88;8.68;84.96;2
0.01;20;30.77;29.96;0
0.03;95;-8.03;77.33;2
0.04;10;26.38;71.69;1
0.03;90;9.28;96.32;2
0.04;99;34.87;30.3;2
0.01;82;-2.11;63.02;2
0.01;8;21.46;45.62;0
0.0;36;14.36;11.7;0
0.05;18;25.82;91.76;1
0.01;8;3.95;80.75;0
0.01;87;39.43;58.47;2
0.0;9;-7.39;73.92;0
0.03;63;21.42;15.32;1
0.01;89;22.89;53.04;2
0.03;71;28.1;98.29;1
0.02;38;29.78;95.55;1
0.02;53;8.45;71.04;1
0.01;12;6.35;42.63;0
0.04;36;-2.43;49.08;1
0.05;86;11.59;18.31;2
0.01;10;23.46;80.0;0
0.03;84;17.85;44.37;2
0.04;82;-4.98;39.87;2
0.02;69;-9.86;63.93;1
0.01;97;18.4;65.62;2
0.01;74;29.06;43.13;1
0.04;50;12.4;87.75;1
0.01;47;19.74;83.94;0
0.02;87;14.66;18.67;2
0.0;16;16.0;42.18;0
0.03;96;29.13;65.9;2
0.08;41;19.64;64.1;0
0.01;35;-7.58;66.41;0
0.01;46;22.67;74.95;0
0.0;23;15.94;79.54;0
0.02;87;-4.53;83.43;2
0.04;86;23.21;12.79;2
0.02;96;29.08;61.1;2
0.01;66;0.43;82.1;1
0.03;13;29.13;99.7;1
0.04;93;16.43;49.35;2
0.03;65;16.03;50.85;1
0.03;100;-4.12;98.88;2
0.04;79;34.66;83.01;1
0.05;97;-9.6;19.06;2
0.05;19;23.52;41.2;1
0.05;7;32.28;73.08;1
0.01;91;16.15;42.42;2
0.02;96;31.78;71.08;2
0.03;98;28.1;36.96;2
0.0;91;35.67;43.8;2
0.05;44;32.35;27.67;1
0.01;29;39.63;22.59;0
0.01;99;17.22;73.77;2
0.03;82;-9.64;25.58;2
0.01;27;25.61;59.49;0
0.03;10;21.75;60.4;1
0.04;64;8.26;42.58;1
0.01;99;1.94;71.39;2
0.02;10;-8.26;72.42;1
0.01;47;23.25;43.07;0
0.03;96;28.2;29.19;2
0.01;34;-4.06;75.33;0
0.03;24;25.14;65.76;1
0.01;84;4.73;64.99;2
0.01;29;14.16;95.53;0
0.02;73;29.42;83.88;1
0.03;99;9.66;66.87;2
0.02;50;36.5;97.84;1
0.04;6;24.18;36.33;1
0.03;6;14.71;96.01;1
0.03;92;30.68;66.82;2
0.01;86;15.14;81.04;2
0.0;54;19.35;20.07;1
0.03;82;-8.42;57.02;2
0.01;34;37.44;99.09;0
0.01;99;20.83;27.25;2
0.01;26;-2.97;60.69;0
0.0;17;17.74;46.54;0
0.01;62;31.92;10.96;1
0.29;110;33.7;86.58;2
0.01;46;15.26;91.33;0
0.05;7;7.44;94.03;1
0.04;89;26.88;96.27;2
0.01;84;13.19;85.83;2
0.01;32;31.23;10.33;1
0.04;9;-0.39;88.3;1
0.04;49;4.75;88.64;1
0.01;38;-6.53;98.83;0
0.0;13;26.92;97.69;0
0.02;49;4.76;71.62;1
0.02;45;36.57;66.43;1
0.03;97;29.06;14.69;2
0.03;101;7.35;77.09;2
0.01;93;7.48;96.95;2
0.01;35;23.35;97.03;0
0.01;11;-3.39;88.24;0
0.03;81;33.5;49.18;1
0.04;100;6.68;59.05;2
0.01;36;-0.64;17.34;0
0.03;63;31.33;61.98;1
0.0;15;34.7;96.08;0
0.05;82;25.35;70.61;2
0.02;42;6.19;73.67;1
0.01;43;36.91;88.48;0
0.04;75;-5.36;73.04;1
0.04;51;23.96;96.01;1
0.02;24;22.27;44.03;1
0.05;70;28.08;75.58;1
0.04;99;38.76;13.43;2
0.01;15;5.14;57.21;0
0.05;97;12.36;52.8;2
0.01;18;-7.34;61.31;0
0.01;14;3.98;43.21;0
0.0;23;31.51;33.29;0
0.05;102;8.34;84.7;2
0.05;84;14.24;58.23;2
0.04;76;27.66;63.6;1
0.04;13;34.67;13.28;1
0.01;29;-7.75;83.01;0
0.02;81;31.56;70.61;1
0.04;61;9.24;88.15;1
0.01;34;-7.39;79.43;0
0.02;97;7.88;38.58;2
0.01;9;24.74;39.91;0
0.0;55;17.17;70.66;1
0.04;37;6.22;19.99;1
0.0;74;-3.24;56.87;1
0.01;5;21.97;85.78;0
0.01;95;13.03;73.84;2
0.02;42;32.14;90.92;1
0.0;12;-9.39;76.67;0
0.03;99;7.0;33.5;2
0.01;31;-4.13;38.76;0
0.02;10;39.45;76.3;1
0.05;13;21.57;62.08;0
0.01;7;30.54;21.02;0
0.02;52;-4.79;77.56;1
0.05;27;2.67;19.65;1
0.01;88;8.17;33.53;2
0.04;82;-0.9;20.06;2
0.05;33;-8.81;34.55;1
0.02;84;11.01;91.61;2
0.02;62;9.8;12.9;1
0.04;49;-6.83;86.32;1
0.03;74;5.86;58.53;1
0.01;59;12.25;31.13;1
0.02;100;-3.93;97.25;2
0.05;42;39.38;35.05;1
0.01;49;12.03;62.69;0
0.03;97;13.88;64.23;2
0.01;28;-4.41;66.28;0
0.02;92;4.1;17.64;2
0.04;100;27.11;85.47;2
0.01;70;-4.04;44.58;1
0.03;43;-3.0;23.58;1
0.05;84;4.71;72.86;2
0.04;71;39.26;41.18;1
0.01;33;9.99;60.61;0
0.01;28;7.58;29.5;0
0.02;71;-2.7;82.55;1
0.0;23;6.46;55.34;0
0.02;47;8.39;19.99;1
0.02;17;23.36;56.32;1
0.01;24;-0.01;92.4;0
0.03;57;26.22;84.62;1
0.05;21;15.24;50.44;1
0.05;46;-4.76;51.22;1
0.02;98;-8.58;40.44;2
0.05;12;37.88;39.04;1
0.04;23;36.46;53.17;1
0.01;10;24.69;33.8;0
0.03;93;32.95;10.73;2
0.01;48;-1.11;61.35;0
0.01;43;6.87;32.55;0
0.0;7;5.69;10.51;0
0.02;85;33.44;74.46;2
0.01;64;-7.8;74.56;1
0.0;36;-8.05;64.83;0
0.03;47;14.28;80.01;1
0.01;21;28.17;36.88;0
0.01;37;39.49;97.32;0
0.01;18;12.98;12.93;0
0.04;36;4.64;60.5;1
0.01;92;1.82;99.5;2
0.0;22;1.95;99.74;0
0.01;37;10.37;99.52;0
0.01;65;15.83;38.19;1
0.04;14;17.4;51.32;1
0.05;6;16.44;67.73;1
0.03;61;2.96;70.23;1
0.01;85;30.88;96.14;2
0.05;93;-6.26;64.91;2
0.01;87;8.99;78.75;2
0.02;52;19.16;85.36;1
0.03;57;16.05;10.7;1
0.01;95;15.39;92.17;2
0.01;8;-4.76;69.95;0
0.0;17;1.9;57.1;0
0.02;63;38.22;17.31;1
0.01;81;14.64;43.06;1
0.01;7;39.55;68.84;0
0.05;99;34.95;94.11;2
0.25;115;33.55;80.6;2
0.02;70;31.62;65.67;1
0.01;60;-7.54;96.88;1
0.03;97;-3.28;20.75;2
0.04;100;15.04;13.62;2
0.0;16;1.86;83.92;0
0.01;31;18.46;91.09;0
0.01;47;25.62;77.37;0
0.03;12;-2.38;32.78;1
0.01;17;38.52;98.19;0
0.03;63;7.74;32.92;1
0.04;76;6.13;18.17;1
0.02;90;-3.59;96.03;2
0.01;39;8.37;48.15;0
0.03;73;2.41;69.51;1
0.02;98;31.99;51.15;2
0.02;5;-2.28;79.11;1
0.04;100;27.46;51.14;2
0.01;45;22.77;42.98;0
0.01;24;19.74;53.06;0
0.04;96;4.15;23.69;2
0.04;88;-3.64;67.7;2
0.03;91;34.47;79.61;2
0.01;70;16.16;63.12;1
0.04;85;34.59;68.57;2
0.03;19;28.37;73.19;1
0.02;51;-0.2;26.89;1
0.01;13;19.42;57.41;0
0.03;86;4.18;51.01;2
0.02;98;20.2;95.66;2
0.05;98;29.68;62.32;2
0.03;44;33.58;20.29;1
0.05;99;32.71;15.21;2
0.04;49;-8.42;76.78;1
0.01;78;36.97;54.79;1
0.01;20;15.74;54.73;0
0.04;76;23.07;10.41;1
0.01;39;-0.57;46.04;0
0.01;9;28.3;34.07;0
0.0;46;-8.63;23.43;0
0.0;22;21.78;31.78;0
0.03;42;17.56;58.31;1
0.04;90;19.35;60.6;2
0.01;40;24.3;98.65;0
0.04;99;21.93;10.13;2
0.01;98;24.72;10.55;2
0.01;52;35.75;93.73;1
0.01;79;28.61;44.31;1
0.1;34;21.47;62.68;0
0.05;99;8.63;73.92;2
0.01;38;37.38;59.92;0
0.04;63;37.31;54.85;1
0.01;91;34.12;69.26;2
0.02;29;7.16;99.36;1
0.0;71;1.64;44.83;1
0.01;8;37.36;19.96;0
0.01;6;39.83;18.09;0
0.02;61;20.98;40.65;1
0.02;53;22.28;97.98;1
0.03;25;9.73;93.66;1
0.01;74;28.21;54.64;1
0.0;18;-5.53;26.2;0
0.01;14;17.32;32.48;0
0.01;101;21.12;11.26;2
0.01;50;36.37;50.39;0
0.04;36;31.56;67.34;1
0.01;98;12.6;43.42;2
0.2;115;33.85;85.96;2
0.01;51;19.91;85.1;0
0.01;68;-8.58;97.54;1
0.04;99;3.15;69.43;2
0.01;37;-9.8;43.72;0
0.01;21;37.81;46.3;0
0.02;15;21.34;24.05;1
0.01;18;-2.8;91.46;0
0.01;33;6.7;52.13;0
0.04;55;19.98;56.87;1
0.0;50;-8.26;20.62;0
0.02;74;6.66;32.24;1
0.04;93;33.56;37.57;2
0.01;22;1.04;50.76;0
0.02;75;11.45;63.97;1
0.0;30;5.37;77.6;0
0.04;98;32.24;80.62;2
0.25;102;35.58;84.49;2
0.02;37;2.99;12.46;1
0.0;25;22.19;35.78;0
0.01;94;-7.07;32.94;2
0.05;97;5.51;66.63;2
0.03;96;30.78;93.93;2
0.04;88;-4.15;66.09;2
0.03;74;2.37;57.44;1
0.02;83;13.06;92.3;2
0.01;25;37.72;33.11;0
0.03;9;36.41;85.09;1
0.0;42;-2.72;15.22;0
0.02;91;29.84;27.95;2
0.02;101;-0.91;94.7;2
0.03;74;39.45;10.65;1
0.02;61;-4.1;35.91;1
0.0;23;23.68;30.31;0
0.04;53;29.18;89.72;1
0.0;99;16.63;79.58;2
0.02;95;12.27;52.37;2
0.03;44;19.98;68.04;0
0.02;93;-8.48;37.62;2
0.0;19;31.78;22.51;0
0.01;32;24.64;44.42;0
0.05;62;29.01;11.91;1
0.01;35;28.48;63.84;0
0.04;16;3.7;87.83;1
0.02;49;-0.05;44.61;1
0.02;100;6.49;79.91;2
0.01;49;32.21;74.88;0
0.02;100;5.23;85.13;2
0.01;29;28.23;70.48;0
0.0;8;20.06;13.21;0
0.02;95;5.23;42.62;2
0.05;94;17.63;34.94;2
0.01;19;16.32;90.15;0
0.03;52;26.11;96.48;1
0.01;21;34.46;69.1;0
0.02;85;29.94;26.51;2
0.02;89;-3.36;51.89;2
0.0;11;8.23;21.94;0
0.0;47;23.86;97.76;0
0.0;16;-2.45;40.91;0
0.01;33;24.24;99.22;0
0.01;93;18.49;32.31;2
0.04;94;3.12;77.46;2
0.01;23;-9.18;86.06;0
0.0;69;30.17;84.41;1
0.04;89;9.78;96.63;2
0.02;27;39.68;78.27;1
0.27;102;35.3;81.42;2
0.01;41;31.78;13.24;0
0.0;36;8.0;21.32;0
0.0;98;2.98;89.56;2
0.03;70;5.46;26.56;1
0.26;103;33.8;84.3;2
0.01;34;13.92;96.12;0
0.09;22;18.84;68.4;0
0.0;11;0.19;91.37;0
0.01;30;-5.49;61.29;0
0.05;98;14.96;41.87;2
0.01;42;-7.43;65.72;0
0.03;85;-5.32;82.08;2
0.01;16;30.29;49.99;0
0.01;94;22.99;37.33;2
0.05;36;1.36;50.95;1
0.05;60;31.95;81.37;1
0.04;97;25.35;73.83;2
0.03;53;10.01;42.62;1
0.03;72;9.87;13.65;1
0.03;37;33.96;52.06;1
0.04;73;-9.5;70.51;1
0.01;21;32.2;17.12;0
0.11;79;28.91;75.16;1
0.04;101;24.7;98.28;2
0.03;47;19.14;44.45;1
0.02;83;16.2;98.94;2
0.05;90;14.23;82.8;2
0.03;83;18.11;77.49;2
0.03;49;14.99;22.78;1
0.03;55;-9.41;72.97;1
0.01;40;8.56;17.71;0
0.05;40;-4.95;50.05;1
0.0;7;10.92;59.82;0
0.01;57;37.07;39.45;1
0.02;26;31.11;92.21;1
0.01;101;29.92;58.77;2
0.06;24;22.29;62.65;0
0.02;40;18.39;38.45;1
0.01;23;-2.0;72.79;0
0.03;13;6.15;31.35;1
0.01;18;-6.59;47.85;0
0.04;79;35.05;47.9;1
0.01;14;27.04;11.97;0
0.01;81;-8.97;59.82;1
0.01;46;11.68;37.28;0
0.01;37;6.05;70.31;0
0.02;86;-2.24;44.07;2
0.01;95;5.33;18.58;2
0.05;47;-8.13;22.35;1
0.04;89;0.93;62.94;2
0.04;89;15.27;68.47;2
0.03;96;15.11;78.32;2
0.01;25;-7.75;35.96;0
0.02;51;31.78;33.61;1
0.04;82;-8.12;66.2;2
0.01;102;20.82;19.91;2
0.04;94;32.95;88.48;2
0.01;91;32.69;66.64;2
0.05;16;31.82;90.57;1
0.05;89;34.79;22.83;2
0.01;23;10.96;98.38;0
0.02;27;29.05;95.17;1
0.03;84;21.26;88.81;2
0.04;92;14.09;47.59;2
0.01;10;12.78;19.05;0
0.04;49;-6.06;46.11;1
0.01;85;27.96;11.6;2
0.01;7;-1.77;81.18;0
0.01;19;38.73;28.64;1
0.01;86;15.64;93.49;2
0.02;57;-9.3;12.54;1
0.01;15;34.86;41.15;0
0.01;19;-6.01;75.57;0
0.02;86;39.15;72.71;2
0.04;19;39.15;24.32;1
0.02;89;5.5;62.89;2
0.01;30;13.42;20.52;0
0.01;92;16.81;46.1;2
0.04;20;-4.52;35.59;1
0.04;71;-3.22;15.07;1
0.05;85;27.45;19.53;2
0.02;91;37.28;63.8;2
0.05;22;22.28;49.15;1
0.05;50;34.46;29.35;1
0.0;98;6.74;22.67;2
0.04;77;23.88;61.23;1
0.01;19;26.21;78.88;0
0.01;16;-8.57;98.65;0
0.0;32;37.99;89.78;0
0.0;41;13.3;22.08;0
0.0;8;9.89;81.43;0
0.0;23;-5.54;60.74;0
0.04;51;39.46;87.23;1
0.04;82;30.43;77.08;2
0.05;90;7.1;92.12;2
0.0;23;12.19;62.03;0
0.03;85;34.23;52.41;2
0.03;90;35.93;55.07;2
0.04;93;36.25;96.86;2
0.04;101;32.62;94.17;2
0.03;31;-1.54;95.22;1
0.02;38;9.58;22.33;1
0.03;65;26.56;31.21;1
0.05;87;23.55;72.52;2
0.0;12;5.12;91.26;0
0.01;25;31.09;67.18;0
0.05;59;21.02;62.98;1
0.01;15;31.54;86.35;0
0.04;11;6.52;90.47;1
0.01;29;7.18;86.87;0
0.0;8;16.28;43.79;0
0.04;44;0.84;73.09;1
0.05;101;39.22;34.99;2
0.05;101;-3.29;72.76;2
0.02;76;19.34;96.76;1
0.01;42;31.6;14.31;0
0.0;31;26.51;19.18;0
0.01;17;8.48;27.14;0
0.01;22;23.08;88.76;0
0.01;5;4.12;30.54;0
0.04;83;-4.37;31.37;2
0.05;84;1.97;12.97;2
0.01;47;11.61;77.09;0
0.01;8;-2.21;92.76;0
0.04;81;21.64;53.5;1
0.01;51;-2.94;97.99;0
0.01;50;28.86;24.86;0
0.05;46;32.53;65.21;1
0.03;57;24.57;13.42;1
0.04;97;14.14;88.94;2
0.01;28;13.86;19.47;0
0.01;100;8.41;27.65;2
0.03;44;10.75;84.94;1
0.03;68;37.04;84.89;1
0.03;51;22.31;45.38;1
0.02;63;29.52;92.9;1
0.01;75;16.14;33.11;1
0.01;84;39.97;97.46;2
0.03;35;8.82;93.17;1
0.05;7;-0.73;91.25;1
0.04;45;35.7;55.69;1
0.01;45;20.95;98.42;0
0.05;96;35.02;62.63;2
0.04;90;-4.83;81.3;2
0.09;42;18.56;66.25;0
0.02;21;38.73;96.8;1
0.03;70;30.81;16.01;1
0.0;87;26.62;80.55;2
0.03;57;1.45;79.2;1
0.01;56;29.0;68.41;1
0.04;77;13.57;36.73;1
0.02;90;37.94;83.74;2
0.01;91;13.87;51.59;2
0.05;52;-2.23;22.99;1
0.01;32;-4.02;66.69;0
0.01;85;-7.38;81.29;2
0.01;42;34.3;59.08;0
0.04;17;-7.62;11.97;1
0.01;34;14.16;16.79;0
0.04;88;-3.19;52.14;2
0.01;49;25.66;62.48;0
0.04;88;-5.37;39.81;2
0.02;59;18.32;75.84;1
0.02;23;-1.16;82.6;1
0.05;82;-6.01;32.0;2
0.05;95;28.66;82.66;2
0.01;99;33.38;70.43;2
0.05;87;21.06;28.03;2
0.05;47;15.34;97.26;1
0.04;60;37.48;36.16;1
0.03;81;28.35;66.21;1
0.01;99;28.03;89.06;2
0.04;82;17.63;77.47;2
0.01;13;13.96;17.0;0
0.04;82;-5.04;62.47;2
0.01;5;36.0;47.83;0
0.03;101;16.89;57.4;2
0.01;9;-2.16;36.28;0
0.0;20;20.24;80.44;0
0.01;101;8.79;51.2;2
0.03;99;4.54;13.92;2
0.02;91;40.0;78.94;2
0.0;20;24.45;16.0;0
0.01;36;24.51;91.63;0
0.03;10;31.29;15.31;1
0.04;87;11.18;11.56;2
0.01;17;31.02;35.71;0
0.04;95;38.96;52.2;2
0.01;22;4.87;39.8;0
0.01;101;6.5;36.82;2
0.04;28;32.26;28.94;1
0.01;21;14.09;29.08;0
0.01;12;31.92;83.77;0
0.02;95;25.39;36.57;2
0.01;85;-4.26;91.87;2
0.01;99;6.55;69.52;2
0.02;89;24.79;58.07;2
0.01;50;-9.19;10.67;0
0.02;27;-7.97;33.45;1
0.01;34;-8.52;61.15;0
0.05;38;38.98;84.19;1
0.01;84;26.68;57.39;2
0.01;25;9.08;49.7;0
0.01;62;30.49;78.8;1
0.03;97;-7.04;58.4;2
0.03;32;0.06;68.0;1
0.01;36;7.1;30.27;0
0.01;48;37.37;78.57;0
0.01;88;33.66;21.34;2
0.01;44;21.66;34.29;0
0.01;43;13.68;20.37;0
0.05;15;12.45;22.5;1
0.03;56;25.35;25.25;1
0.03;20;27.89;77.61;1
0.01;45;-4.12;71.93;0
0.05;35;16.87;52.73;1
0.01;24;11.06;78.1;0
0.01;100;34.01;75.41;2
0.0;66;39.03;18.39;1
0.01;34;-5.06;11.04;0
0.05;83;9.46;15.28;2
0.03;86;39.59;86.25;2
0.05;101;28.41;20.32;2
0.02;39;22.1;55.05;1
0.0;37;-0.19;25.14;0
0.01;19;-7.05;47.89;0
0.04;61;38.2;29.54;1
0.01;27;1.33;24.56;0
0.01;13;31.68;79.92;0
0.01;28;26.11;91.35;1
0.02;74;5.5;73.42;1
0.05;61;6.91;94.36;1
0.04;95;-5.53;81.35;2
0.02;95;23.56;39.09;2
0.02;88;19.66;85.33;2
0.02;97;17.78;81.04;2
0.04;100;25.47;14.12;2
0.02;85;19.08;92.98;2
0.01;58;-5.08;53.92;1
0.01;32;39.64;51.04;0
0.04;16;-6.44;36.93;1
0.01;46;13.2;77.71;0
0.04;50;20.99;51.44;1
0.02;7;-1.81;94.25;1
0.03;70;-2.53;66.55;1
0.05;87;18.74;21.43;2
0.05;75;15.91;41.07;1
0.03;86;5.37;43.48;2
0.03;76;0.13;88.61;1
0.02;91;26.78;77.04;2
0.01;67;7.96;75.34;1
0.01;50;21.1;64.89;0
0.01;14;20.97;78.46;0
0.01;7;14.34;85.87;0
0.03;89;24.05;65.15;2
0.03;83;39.5;43.55;2
0.04;81;4.11;86.37;1
0.01;12;27.66;15.12;0
0.03;26;22.09;65.72;0
0.03;89;8.87;34.75;2
0.0;11;-0.65;19.4;0
0.03;12;23.47;97.29;1
0.02;86;2.66;80.26;2
0.01;99;-4.4;34.11;2
0.03;28;5.11;97.76;1
0.04;27;12.93;18.63;1
0.01;22;37.09;79.25;0
0.01;94;-6.83;50.23;2
0.0;79;-3.07;34.98;1
0.0;85;-5.06;22.7;2
0.24;116;32.39;85.14;2
0.03;57;18.39;60.97;1
0.01;37;10.41;48.6;0
0.0;26;7.37;41.66;0
0.01;23;-9.67;34.16;0
